일자,매장,품번,시리즈,수량,매출,채널,영업사원,거래처
2026-01-01,,BF3101,BF3,3,462000,B2B,영업사원_04,거래처_I
2026-01-01,,BF3102,BF3,1,137000,B2B,영업사원_02,거래처_A|
2026-01-01,,BF3102,BF3,1,137000,B2B,영업사원_06,거래처_Ak
2026-01-01,,BF3103,BF3,2,184000,B2B,영업사원_09,거래처_Q
2026-01-01,,BF3111,BF3,3,347025,B2B,영업사원_05,거래처_Ap
2026-01-01,,BF3113,BF3,1,72000,B2B,영업사원_02,거래처_O
2026-01-01,,BF3113,BF3,5,317945,B2B,영업사원_06,거래처_P
2026-01-01,,BF3114,BF3,3,333000,B2B,영업사원_02,거래처_Av
2026-01-01,,BF3120,BF3,3,371079,B2B,영업사원_06,거래처_Ao
2026-01-01,,BF3123,BF3,1,118000,B2B,영업사원_05,거래처_A`
2026-01-01,,BF3123,BF3,2,236000,B2B,영업사원_03,거래처_A\
2026-01-01,,BF3126,BF3,3,234000,B2B,,거래처_AK
2026-01-01,,BF3130,BF3,3,456000,B2B,영업사원_05,거래처_J
2026-01-01,,CW1501,CW1,1,813000,B2B,영업사원_01,거래처_AM
2026-01-01,,CW1501,CW1,1,813000,B2B,영업사원_01,거래처_AC
2026-01-01,,CW1510,CW1,1,710339,B2B,영업사원_02,거래처_Av
2026-01-01,,CW1519,CW1,1,754000,B2B,영업사원_06,거래처_N
2026-01-01,,CW1524,CW1,1,849000,B2B,영업사원_06,거래처_AH
2026-01-01,,CW1527,CW1,3,1194000,B2B,영업사원_03,거래처_A{
2026-01-01,,CW1527,CW1,2,796000,B2B,영업사원_02,거래처_Ar
2026-01-01,,RB1501,RB1,1,368000,B2B,영업사원_06,거래처_A
2026-01-01,,RB1505,RB1,1,447000,B2B,,거래처_Ah
2026-01-01,,RB1513,RB1,2,680000,B2B,영업사원_02,거래처_AA
2026-01-01,,RB1513,RB1,2,680000,B2B,영업사원_09,거래처_Ai
2026-01-01,,RB1519,RB1,2,872000,B2B,영업사원_05,거래처_AS
2026-01-01,,RB1526,RB1,2,970000,B2B,영업사원_06,거래처_B
2026-01-01,,RB1527,RB1,3,2013000,B2B,,거래처_AC
2026-01-01,,RB1534,RB1,2,716000,B2B,영업사원_10,거래처_F
2026-01-01,,RB1537,RB1,3,825000,B2B,영업사원_03,거래처_Ak
